Iter,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
64,11.415000000000001,11.805,11.985,12.24,8.25,6.615,8.129999999999999,8.685,8.850000000000001,11.415000000000001,13.065000000000001,14.774999999999999
65,10.44,12.66,12.165,10.86,9.465,6.9750000000000005,7.949999999999999,9.149999999999999,9.945,10.26,12.945,13.004999999999999
66,11.565,12.345,12.299999999999999,10.725000000000001,9.195,7.23,7.41,9.69,10.23,11.205,14.580000000000002,14.370000000000001
67,11.43,13.080000000000002,12.015,11.745000000000001,8.985,6.57,8.715,9.629999999999999,9.555,10.485,12.524999999999999,12.99
68,10.395,13.11,11.76,11.55,9.209999999999999,6.8100000000000005,8.745000000000001,9.315,9.945,11.295,13.200000000000001,13.68
69,11.31,12.629999999999999,13.335,10.815,8.385,6.87,9.06,9.57,10.32,11.399999999999999,12.705000000000002,13.350000000000001
70,11.28,13.095,12.165,10.89,8.955,7.095000000000001,7.38,8.94,9.315,10.665000000000001,11.850000000000001,14.190000000000001
71,10.649999999999999,12.27,12.405,11.370000000000001,8.850000000000001,6.93,9.045,8.715,10.035,10.620000000000001,12.645,14.565000000000001
72,11.024999999999999,12.585,11.370000000000001,11.415000000000001,9.735,6.24,8.25,9.345,9.93,10.665000000000001,13.215,13.620000000000001
73,11.145,14.265,14.085,11.25,8.43,6.735,8.745000000000001,8.475000000000001,9.600000000000001,11.595,13.799999999999999,12.674999999999999
74,11.16,12.615,12.419999999999998,11.55,9.345,6.57,8.955,9.645,9.645,11.235,12.794999999999998,14.370000000000001
75,10.5,13.049999999999999,12.945,12.105,9.225000000000001,6.375,8.82,9.045,10.545,11.64,12.96,13.995000000000001
76,11.325,12.66,12.044999999999998,10.83,9.09,6.6899999999999995,8.504999999999999,9.195,9.375,11.790000000000001,13.035,13.47
77,10.965,13.379999999999999,12.315000000000001,11.325,9.24,6.135,8.685,8.459999999999999,10.649999999999999,10.68,13.02,14.415
78,10.92,12.809999999999999,12.99,11.415000000000001,9.015,6.8999999999999995,8.370000000000001,9.405,9.915000000000001,10.725000000000001,13.215,13.815000000000001
