Iter,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,15.149999999999999,13.665,16.259999999999998,16.169999999999998,14.415,11.235,11.115,10.44,10.8,11.565,15.899999999999999,17.625
1,15.059999999999999,13.049999999999999,15.18,13.934999999999999,13.799999999999999,10.515,11.504999999999999,10.14,11.01,11.22,16.86,14.955000000000002
2,13.74,13.395,14.024999999999999,15.765,12.18,11.31,10.89,9.915000000000001,10.32,10.875,16.200000000000003,18.255
3,15.165,13.695,15.629999999999999,13.395,13.11,11.565,10.605,10.215,10.83,11.100000000000001,14.835,17.19
4,14.04,13.74,14.835,15.120000000000001,13.02,10.905,10.334999999999999,10.8,11.01,10.754999999999999,16.245,16.455000000000002
5,14.294999999999998,13.215,17.294999999999998,14.49,13.335,12.615,10.2,10.23,10.935,11.19,14.924999999999999,16.365000000000002
6,13.815000000000001,13.875,15.705000000000002,14.055,11.76,12.254999999999999,11.205,9.78,11.67,11.129999999999999,17.700000000000003,16.965
7,15.105,13.14,15.585,14.924999999999999,12.794999999999998,11.76,10.649999999999999,9.66,11.355,11.67,15.345,16.38
8,14.07,14.100000000000001,14.16,13.725000000000001,11.879999999999999,13.065000000000001,11.49,11.58,11.235,11.865,14.940000000000001,17.97
9,14.01,13.245000000000001,14.76,14.64,13.049999999999999,11.504999999999999,9.899999999999999,10.274999999999999,10.725000000000001,11.01,16.259999999999998,17.835
10,14.865,13.86,14.445,14.655,13.649999999999999,11.370000000000001,10.785,10.575,10.845,11.265,16.11,17.43
11,15.135,13.245000000000001,15.21,12.870000000000001,13.274999999999999,11.58,10.379999999999999,10.665000000000001,11.055,10.8,15.149999999999999,16.155
12,14.309999999999999,13.004999999999999,15.735,13.515,13.74,10.935,10.649999999999999,10.455,10.44,12.855,15.36,16.875
13,13.544999999999998,13.89,15.524999999999999,14.955000000000002,14.100000000000001,12.044999999999998,11.31,10.935,11.58,10.815,15.225000000000001,15.555
14,15.015,13.47,15.674999999999999,14.61,12.044999999999998,11.834999999999999,9.915000000000001,10.620000000000001,10.56,11.925,15.66,16.53
15,13.815000000000001,13.635,15.450000000000001,14.309999999999999,13.424999999999999,10.8,10.11,9.99,10.695,11.115,15.645,16.785
16,14.085,12.48,15.135,14.700000000000001,12.524999999999999,11.43,10.215,10.754999999999999,10.455,11.415000000000001,15.24,16.89
17,14.190000000000001,12.285,16.005,15.419999999999998,13.905,12.78,10.59,10.334999999999999,10.92,11.129999999999999,17.37,17.384999999999998
